10000,182,208,169,169,104,169,169,143,221,104,143,143,78,156,91,130,169,143,130,130,117,117,117,91,117,169,117
182,10000,143,195,91,169,156,156,156,169,117,130,104,78,195,156,156,104,195,156,156,156,156,143,104,182,130,91
208,143,10000,182,169,117,208,182,143,182,91,143,130,104,104,130,104,104,104,156,130,78,65,117,104,104,117,91
169,195,182,10000,130,156,195,234,130,156,117,130,130,91,156,156,143,117,156,169,156,117,104,117,143,130,130,117
169,91,169,130,10000,78,130,130,195,195,130,156,208,104,117,91,117,143,117,78,104,130,130,130,117,130,130,156
104,169,117,156,78,10000,78,156,91,65,91,78,78,91,104,117,130,91,130,169,169,143,104,143,91,117,117,117
169,156,208,195,130,78,10000,130,156,195,117,169,182,117,156,195,143,117,156,130,156,117,78,117,104,130,143,104
169,156,182,234,130,156,130,10000,65,117,65,117,117,91,78,104,104,91,91,143,169,104,91,91,104,65,78,104
143,156,143,130,195,91,156,65,10000,156,143,130,156,130,156,117,143,143,104,143,130,182,169,182,78,208,130,78
221,169,182,156,195,65,195,117,156,10000,130,169,143,78,182,104,156,169,143,104,143,143,91,156,130,117,195,130
104,117,91,117,130,91,117,65,143,130,10000,91,130,221,130,130,117,104,104,117,104,130,117,156,143,130,130,117
143,130,143,130,156,78,169,117,130,169,91,10000,208,104,156,130,91,91,156,91,117,117,104,104,91,117,143,117
143,104,130,130,208,78,182,117,156,143,130,208,10000,143,130,117,130,143,130,104,104,143,117,117,156,91,156,156
78,78,104,91,104,91,117,91,130,78,221,104,143,10000,78,117,117,104,91,91,91,78,104,130,104,104,91,78
156,195,104,156,117,104,156,78,156,182,130,156,130,78,10000,156,221,208,247,156,117,208,143,169,156,195,208,169
91,156,130,156,91,117,195,104,117,104,130,130,117,117,156,10000,117,130,195,195,130,91,78,117,117,182,143,130
130,156,104,143,117,130,143,104,143,156,117,91,130,117,221,117,10000,260,169,130,130,195,156,260,195,221,169,156
169,104,104,117,143,91,117,91,143,169,104,91,143,104,208,130,260,10000,143,117,117,182,169,208,195,208,169,208
143,195,104,156,117,130,156,91,104,143,104,156,130,91,247,195,169,143,10000,169,156,208,130,156,130,182,208,117
130,156,156,169,78,169,130,143,143,104,117,91,104,91,156,195,130,117,169,10000,130,143,117,143,117,169,182,130
130,156,130,156,104,169,156,169,130,143,104,117,104,91,117,130,130,117,156,130,10000,143,156,104,104,117,130,104
117,156,78,117,130,143,117,104,182,143,130,117,143,78,208,91,195,182,208,143,143,10000,195,195,208,208,208,143
117,156,65,104,130,104,78,91,169,91,117,104,117,104,143,78,156,169,130,117,156,195,10000,156,182,182,130,91
117,143,117,117,130,143,117,91,182,156,156,104,117,130,169,117,260,208,156,143,104,195,156,10000,247,221,169,156
91,104,104,143,117,91,104,104,78,130,143,91,156,104,156,117,195,195,130,117,104,208,182,247,10000,156,143,182
117,182,104,130,130,117,130,65,208,117,130,117,91,104,195,182,221,208,182,169,117,208,182,221,156,10000,156,156
169,130,117,130,130,117,143,78,130,195,130,143,156,91,208,143,169,169,208,182,130,208,130,169,143,156,10000,130
117,91,91,117,156,117,104,104,78,130,117,117,156,78,169,130,156,208,117,130,104,143,91,156,182,156,130,10000
